Folder,Islet,Glucose,Capillaries,Avg_Total_Oxygen,Avg_Medium_Oxygen,Num_Cells,Num_Alpha,Num_Beta,Num_Delta,Avg_Cell_Oxygen,Avg_Alpha_Oxygen,Avg_Beta_Oxygen,Avg_Delta_Oxygen,Functional_Prop,Hypoxic_Prop,Non_Viable_Prop,Functional_Alpha_Prop,Hypoxic_Alpha_Prop,Non_Viable_Alpha_Prop,Functional_Beta_Prop,Hypoxic_Beta_Prop,Non_Viable_Beta_Prop,Functional_Delta_Prop,Hypoxic_Delta_Prop,Non_Viable_Delta_Prop
H54_200_capilares_G20_Rep_1,H54,G20,200,26.0999,26.4896,3516,2209,961,346,13.104168031854387,11.345702354006338,16.07274765868885,16.085802890173408,0.6006825938566553,0.39362912400455063,0.005688282138794084,0.5219556360344048,0.47442281575373474,0.0036215482118605704,0.7294484911550468,0.26222684703433924,0.008324661810613945,0.7456647398843931,0.24277456647398843,0.011560693641618497
H53_25_capilares_G6_Rep_1,H53,G6,25,17.6445,18.2081,3222,1523,1082,617,2.6201299193047882,2.5380151674326994,2.4212544362292068,3.1715789303079385,0.0990068280571074,0.35567970204841715,0.5453134698944755,0.0958634274458306,0.3716349310571241,0.5325016414970453,0.09426987060998152,0.33826247689463956,0.5674676524953789,0.11507293354943274,0.34683954619124796,0.5380875202593193
H52_100_capilares_G20_Rep_1,H52,G20,100,24.2622,24.6432,2252,1461,427,364,11.50408636767318,9.610334976043822,15.001138407494143,15.002793956043961,0.48756660746003555,0.4955595026642984,0.016873889875666074,0.3949349760438056,0.5852156057494866,0.019849418206707735,0.6440281030444965,0.3442622950819672,0.0117096018735363,0.6758241758241759,0.3131868131868132,0.01098901098901099
H51_200_capilares_G6_Rep_1,H51,G6,200,29.5951,29.6452,583,316,148,119,26.836745111492277,26.177223101265813,27.781560135135123,27.4130168067227,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H52_25_capilares_G6_Rep_1,H52,G6,25,18.0905,18.5919,2252,1461,427,364,4.775812833037296,3.6217325119780974,6.56730749414519,7.306425824175824,0.19493783303730017,0.47824156305506216,0.3268206039076377,0.13894592744695414,0.46954140999315536,0.3915126625598905,0.28337236533957844,0.4847775175644028,0.23185011709601874,0.3159340659340659,0.5054945054945055,0.17857142857142858
H52_25_capilares_G20_Rep_1,H52,G20,25,16.8219,17.3449,2252,1461,427,364,2.910504085257547,2.056550787132099,4.556585011709601,4.4070678571428585,0.10390763765541741,0.488898756660746,0.4071936056838366,0.06570841889117043,0.46954140999315536,0.4647501711156742,0.17330210772833723,0.5081967213114754,0.3185011709601874,0.17582417582417584,0.5439560439560439,0.2802197802197802
H54_300_capilares_G20_Rep_1,H54,G20,300,27.6077,27.8796,3516,2209,961,346,17.907018742889594,15.903877003168814,21.26522747138397,21.368583815028913,0.8017633674630261,0.19823663253697382,0.0,0.740153915799004,0.2598460842009959,0.0,0.9053069719042663,0.09469302809573361,0.0,0.9075144508670521,0.09248554913294797,0.0
H56_25_capilares_G6_Rep_1,H56,G6,25,17.0787,17.4978,2841,1355,830,656,6.753027842309059,5.511958081180822,7.519208915662649,8.34711204268292,0.26610348468849,0.5117916226680747,0.22210489264343541,0.20811808118081182,0.548339483394834,0.24354243542435425,0.30120481927710846,0.44819277108433736,0.25060240963855424,0.34146341463414637,0.5167682926829268,0.14176829268292682
H56_300_capilares_G20_Rep_1,H56,G20,300,28.2728,28.4249,2841,1355,830,656,22.286815029919072,19.357142583025816,25.03747457831324,24.8579411585366,0.9317141851460753,0.06828581485392468,0.0,0.8738007380073801,0.12619926199261994,0.0,0.9855421686746988,0.014457831325301205,0.0,0.9832317073170732,0.01676829268292683,0.0
H52_200_capilares_G6_Rep_1,H52,G6,200,28.4418,28.5561,2252,1461,427,364,23.377076332149223,22.45660629705683,24.980456440281028,25.190712087912065,0.9613676731793961,0.038632326820603906,0.0,0.94798083504449,0.05201916495550993,0.0,0.9859484777517564,0.01405152224824356,0.0,0.9862637362637363,0.013736263736263736,0.0
H55_100_capilares_G6_Rep_1,H55,G6,100,27.4102,27.673,2084,1168,642,274,19.95252600767753,18.7987941780822,20.960434579439244,22.50902773722625,0.9198656429942419,0.07917466410748561,0.0009596928982725527,0.8946917808219178,0.10445205479452055,0.0008561643835616438,0.9439252336448598,0.05451713395638629,0.001557632398753894,0.9708029197080292,0.029197080291970802,0.0
H54_50_capilares_G6_Rep_1,H54,G6,50,17.3383,17.8799,3516,2209,961,346,3.4477003981797534,3.216915889542777,3.5061464099895923,4.758788150289014,0.13196814562002276,0.39533560864618883,0.4726962457337884,0.12449071978270711,0.37799909461294706,0.49751018560434584,0.1259105098855359,0.4141519250780437,0.4599375650364204,0.19653179190751446,0.45375722543352603,0.34971098265895956
H53_300_capilares_G20_Rep_1,H53,G20,300,28.0734,28.2843,3222,1523,1082,617,19.748660117939124,16.81301490479315,22.04643317929762,22.965511345218797,0.8767846058348852,0.12290502793296089,0.00031036623215394165,0.7931713722915299,0.206172028890348,0.0006565988181221273,0.9482439926062847,0.051756007393715345,0.0,0.9578606158833063,0.04213938411669368,0.0
H53_200_capilares_G20_Rep_1,H53,G20,200,26.657,26.9773,3222,1523,1082,617,14.851165797641203,11.947388969139856,16.79429981515711,18.611264829821703,0.6787709497206704,0.3063314711359404,0.0148975791433892,0.5574523965856861,0.4221930400525279,0.020354563361785948,0.7587800369685767,0.22828096118299446,0.012939001848428836,0.8379254457050244,0.15721231766612642,0.004862236628849271
H54_5_capilares_G6_Rep_1,H54,G6,5,7.8557,8.141,3516,2209,961,346,0.7281694254835018,0.847402987777273,0.4454059313215399,0.7522988439306354,0.020193401592719,0.13680318543799772,0.8430034129692833,0.025803531009506563,0.1416930737890448,0.8325033952014487,0.007284079084287201,0.11654526534859522,0.8761706555671176,0.02023121387283237,0.16184971098265896,0.8179190751445087
H56_50_capilares_G6_Rep_1,H56,G6,50,22.9574,23.4115,2841,1355,830,656,11.58088581485392,10.870880516605162,12.042689277108433,12.463142378048792,0.4815205913410771,0.4325941569869764,0.0858852516719465,0.45018450184501846,0.45830258302583027,0.09151291512915129,0.5072289156626506,0.41204819277108434,0.08072289156626505,0.5137195121951219,0.4054878048780488,0.08079268292682927
H54_5_capilares_G20_Rep_1,H54,G20,5,7.6235,7.9096,3516,2209,961,346,0.50767955062571,0.5798340878225433,0.331885848074922,0.5352760115606936,0.011376564277588168,0.1222980659840728,0.8663253697383391,0.01403349932095971,0.12856496152105024,0.85740153915799,0.005202913631633715,0.0967741935483871,0.8980228928199792,0.011560693641618497,0.1531791907514451,0.8352601156069365
